date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:01:16	13892/13892	---M--	200	added ('OK')	application/octet-stream	date:Sat,%2030%20Mar%202024%2006:01:16%20GMT	https://sylvesterthecat.lol/fonts/83e92e69079378329723bd898b58569c.woff	C:/Users/mafio/Desktop/WEB/yugipepe/sylvesterthecat.lol/fonts/83e92e69079378329723bd898b58569c.woff	(from https://sylvesterthecat.lol/)
01:01:17	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2030%20Mar%202024%2006:01:16%20GMT	http://sylvesterthecat.lol/fonts/f8f199f09526f79e87644ed227e0f651.woff2	C:/Users/mafio/Desktop/WEB/yugipepe/sylvesterthecat.lol/fonts/f8f199f09526f79e87644ed227e0f651.woff2	(from https://sylvesterthecat.lol/)
01:01:17	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2030%20Mar%202024%2006:01:18%20GMT	http://sylvesterthecat.lol/fonts/98c4d2c0223fc8474641c77f923528e9.woff2	C:/Users/mafio/Desktop/WEB/yugipepe/sylvesterthecat.lol/fonts/98c4d2c0223fc8474641c77f923528e9.woff2	(from https://sylvesterthecat.lol/)
01:01:17	194188/194188	---M--	200	added ('OK')	font/woff2	date:Sat,%2030%20Mar%202024%2006:01:18%20GMT	https://sylvesterthecat.lol/fonts/f8f199f09526f79e87644ed227e0f651.woff2	C:/Users/mafio/Desktop/WEB/yugipepe/sylvesterthecat.lol/fonts/f8f199f09526f79e87644ed227e0f651.woff2	(from https://sylvesterthecat.lol/)
01:01:19	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2030%20Mar%202024%2006:01:18%20GMT	http://sylvesterthecat.lol/fonts/d257a7100844bc3f98c9021168b6249e.woff2	C:/Users/mafio/Desktop/WEB/yugipepe/sylvesterthecat.lol/fonts/d257a7100844bc3f98c9021168b6249e.woff2	(from https://sylvesterthecat.lol/)
01:01:19	194064/194064	---M--	200	added ('OK')	font/woff2	date:Sat,%2030%20Mar%202024%2006:01:18%20GMT	https://sylvesterthecat.lol/fonts/98c4d2c0223fc8474641c77f923528e9.woff2	C:/Users/mafio/Desktop/WEB/yugipepe/sylvesterthecat.lol/fonts/98c4d2c0223fc8474641c77f923528e9.woff2	(from https://sylvesterthecat.lol/)
01:01:20	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2030%20Mar%202024%2006:01:20%20GMT	http://sylvesterthecat.lol/fonts/1060345c54d396e76d73f1da7ee200bd.woff2	C:/Users/mafio/Desktop/WEB/yugipepe/sylvesterthecat.lol/fonts/1060345c54d396e76d73f1da7ee200bd.woff2	(from https://sylvesterthecat.lol/)
01:01:20	201132/201132	---M--	200	added ('OK')	font/woff2	date:Sat,%2030%20Mar%202024%2006:01:20%20GMT	https://sylvesterthecat.lol/fonts/d257a7100844bc3f98c9021168b6249e.woff2	C:/Users/mafio/Desktop/WEB/yugipepe/sylvesterthecat.lol/fonts/d257a7100844bc3f98c9021168b6249e.woff2	(from https://sylvesterthecat.lol/)
01:01:22	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2030%20Mar%202024%2006:01:21%20GMT	http://sylvesterthecat.lol/images/1e646f5074b4869ba92b2f5d1f664042.png	C:/Users/mafio/Desktop/WEB/yugipepe/sylvesterthecat.lol/images/1e646f5074b4869ba92b2f5d1f664042.png	(from https://sylvesterthecat.lol/)
01:01:22	203232/203232	---M--	200	added ('OK')	font/woff2	date:Sat,%2030%20Mar%202024%2006:01:21%20GMT	https://sylvesterthecat.lol/fonts/1060345c54d396e76d73f1da7ee200bd.woff2	C:/Users/mafio/Desktop/WEB/yugipepe/sylvesterthecat.lol/fonts/1060345c54d396e76d73f1da7ee200bd.woff2	(from https://sylvesterthecat.lol/)
01:01:24	58901/58901	---M--	200	added ('OK')	image/png	date:Sat,%2030%20Mar%202024%2006:01:22%20GMT	https://sylvesterthecat.lol/images/1e646f5074b4869ba92b2f5d1f664042.png	C:/Users/mafio/Desktop/WEB/yugipepe/sylvesterthecat.lol/images/1e646f5074b4869ba92b2f5d1f664042.png	(from https://sylvesterthecat.lol/)
01:01:24	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2030%20Mar%202024%2006:01:23%20GMT	http://sylvesterthecat.lol/images/90ba7bae0270161f45ec4f691af849e4.png	C:/Users/mafio/Desktop/WEB/yugipepe/sylvesterthecat.lol/images/90ba7bae0270161f45ec4f691af849e4.png	(from https://sylvesterthecat.lol/)
01:01:24	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2030%20Mar%202024%2006:01:25%20GMT	http://sylvesterthecat.lol/images/5de8cc5dd9454794c53fde50e5ffa4e4.png	C:/Users/mafio/Desktop/WEB/yugipepe/sylvesterthecat.lol/images/5de8cc5dd9454794c53fde50e5ffa4e4.png	(from https://sylvesterthecat.lol/)
01:01:24	181574/181574	---M--	200	added ('OK')	image/png	date:Sat,%2030%20Mar%202024%2006:01:25%20GMT	https://sylvesterthecat.lol/images/90ba7bae0270161f45ec4f691af849e4.png	C:/Users/mafio/Desktop/WEB/yugipepe/sylvesterthecat.lol/images/90ba7bae0270161f45ec4f691af849e4.png	(from https://sylvesterthecat.lol/)
01:01:25	5099/5099	---M--	200	added ('OK')	image/png	date:Sat,%2030%20Mar%202024%2006:01:25%20GMT	https://sylvesterthecat.lol/images/5de8cc5dd9454794c53fde50e5ffa4e4.png	C:/Users/mafio/Desktop/WEB/yugipepe/sylvesterthecat.lol/images/5de8cc5dd9454794c53fde50e5ffa4e4.png	(from https://sylvesterthecat.lol/)
01:01:26	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2030%20Mar%202024%2006:01:25%20GMT	http://sylvesterthecat.lol/videos/b47440a274bf5b64af1653b35c09bf6d.mp4	C:/Users/mafio/Desktop/WEB/yugipepe/sylvesterthecat.lol/videos/b47440a274bf5b64af1653b35c09bf6d.mp4	(from https://sylvesterthecat.lol/)
01:01:27	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2030%20Mar%202024%2006:01:27%20GMT	http://sylvesterthecat.lol/videos/584e22a3626e32f813c86e87b6d1ccc0.mp4	C:/Users/mafio/Desktop/WEB/yugipepe/sylvesterthecat.lol/videos/584e22a3626e32f813c86e87b6d1ccc0.mp4	(from https://sylvesterthecat.lol/)
01:01:27	771168/771168	---MC-	200	added ('OK')	video/mp4	date:Sat,%2030%20Mar%202024%2006:01:27%20GMT	https://sylvesterthecat.lol/videos/b47440a274bf5b64af1653b35c09bf6d.mp4	C:/Users/mafio/Desktop/WEB/yugipepe/sylvesterthecat.lol/videos/b47440a274bf5b64af1653b35c09bf6d.mp4	(from https://sylvesterthecat.lol/)
01:01:28	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2030%20Mar%202024%2006:01:27%20GMT	http://sylvesterthecat.lol/videos/6859ef4f91f14c52ee75cb0197995409.mp4	C:/Users/mafio/Desktop/WEB/yugipepe/sylvesterthecat.lol/videos/6859ef4f91f14c52ee75cb0197995409.mp4	(from https://sylvesterthecat.lol/)
01:01:28	214182/214182	---MC-	200	added ('OK')	video/mp4	date:Sat,%2030%20Mar%202024%2006:01:27%20GMT	https://sylvesterthecat.lol/videos/584e22a3626e32f813c86e87b6d1ccc0.mp4	C:/Users/mafio/Desktop/WEB/yugipepe/sylvesterthecat.lol/videos/584e22a3626e32f813c86e87b6d1ccc0.mp4	(from https://sylvesterthecat.lol/)
01:01:30	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2030%20Mar%202024%2006:01:29%20GMT	http://sylvesterthecat.lol/videos/25c306060ab84090a122faa3fbf36540.gif	C:/Users/mafio/Desktop/WEB/yugipepe/sylvesterthecat.lol/videos/25c306060ab84090a122faa3fbf36540.gif	(from https://sylvesterthecat.lol/)
01:01:30	58583/58583	---MC-	200	added ('OK')	video/mp4	date:Sat,%2030%20Mar%202024%2006:01:29%20GMT	https://sylvesterthecat.lol/videos/6859ef4f91f14c52ee75cb0197995409.mp4	C:/Users/mafio/Desktop/WEB/yugipepe/sylvesterthecat.lol/videos/6859ef4f91f14c52ee75cb0197995409.mp4	(from https://sylvesterthecat.lol/)
01:01:31	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2030%20Mar%202024%2006:01:31%20GMT	http://sylvesterthecat.lol/videos/79bdb57b4f104d145aa3b00139ab831f.gif	C:/Users/mafio/Desktop/WEB/yugipepe/sylvesterthecat.lol/videos/79bdb57b4f104d145aa3b00139ab831f.gif	(from https://sylvesterthecat.lol/)
01:01:31	38048/38048	---M--	200	added ('OK')	image/gif	date:Sat,%2030%20Mar%202024%2006:01:31%20GMT	https://sylvesterthecat.lol/videos/25c306060ab84090a122faa3fbf36540.gif	C:/Users/mafio/Desktop/WEB/yugipepe/sylvesterthecat.lol/videos/25c306060ab84090a122faa3fbf36540.gif	(from https://sylvesterthecat.lol/)
01:01:32	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2030%20Mar%202024%2006:01:31%20GMT	http://sylvesterthecat.lol/videos/fa48c0a53e70fbb01ab35ed5d0f57e12.gif	C:/Users/mafio/Desktop/WEB/yugipepe/sylvesterthecat.lol/videos/fa48c0a53e70fbb01ab35ed5d0f57e12.gif	(from https://sylvesterthecat.lol/)
01:01:32	106848/106848	---M--	200	added ('OK')	image/gif	date:Sat,%2030%20Mar%202024%2006:01:31%20GMT	https://sylvesterthecat.lol/videos/79bdb57b4f104d145aa3b00139ab831f.gif	C:/Users/mafio/Desktop/WEB/yugipepe/sylvesterthecat.lol/videos/79bdb57b4f104d145aa3b00139ab831f.gif	(from https://sylvesterthecat.lol/)
01:01:34	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2030%20Mar%202024%2006:01:33%20GMT	http://sylvesterthecat.lol/videos/1ac2fb2d2c45fcc1f3465ff32e0cb7b8.gif	C:/Users/mafio/Desktop/WEB/yugipepe/sylvesterthecat.lol/videos/1ac2fb2d2c45fcc1f3465ff32e0cb7b8.gif	(from https://sylvesterthecat.lol/)
01:01:34	48055/48055	---M--	200	added ('OK')	image/gif	date:Sat,%2030%20Mar%202024%2006:01:33%20GMT	https://sylvesterthecat.lol/videos/fa48c0a53e70fbb01ab35ed5d0f57e12.gif	C:/Users/mafio/Desktop/WEB/yugipepe/sylvesterthecat.lol/videos/fa48c0a53e70fbb01ab35ed5d0f57e12.gif	(from https://sylvesterthecat.lol/)
01:01:36	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2030%20Mar%202024%2006:01:35%20GMT	http://sylvesterthecat.lol/images/9225e6d271e58ff5f65df9078f2c0cde.svg	C:/Users/mafio/Desktop/WEB/yugipepe/sylvesterthecat.lol/images/9225e6d271e58ff5f65df9078f2c0cde.svg	(from https://sylvesterthecat.lol/)
01:01:36	471713/471713	---M--	200	added ('OK')	image/gif	date:Sat,%2030%20Mar%202024%2006:01:35%20GMT	https://sylvesterthecat.lol/videos/1ac2fb2d2c45fcc1f3465ff32e0cb7b8.gif	C:/Users/mafio/Desktop/WEB/yugipepe/sylvesterthecat.lol/videos/1ac2fb2d2c45fcc1f3465ff32e0cb7b8.gif	(from https://sylvesterthecat.lol/)
01:01:39	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2030%20Mar%202024%2006:01:37%20GMT	http://sylvesterthecat.lol/images/41cd47fa65b05729ba6b75944c7ab5da.svg	C:/Users/mafio/Desktop/WEB/yugipepe/sylvesterthecat.lol/images/41cd47fa65b05729ba6b75944c7ab5da.svg	(from https://sylvesterthecat.lol/)
01:01:39	35125/35125	---MCZ	200	added ('OK')	image/svg+xml	date:Sat,%2030%20Mar%202024%2006:01:37%20GMT	https://sylvesterthecat.lol/images/9225e6d271e58ff5f65df9078f2c0cde.svg	C:/Users/mafio/Desktop/WEB/yugipepe/sylvesterthecat.lol/images/9225e6d271e58ff5f65df9078f2c0cde.svg	(from https://sylvesterthecat.lol/)
01:01:39	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2030%20Mar%202024%2006:01:39%20GMT	http://sylvesterthecat.lol/images/b022906c30d2728eaa68a52f5e78302d.svg	C:/Users/mafio/Desktop/WEB/yugipepe/sylvesterthecat.lol/images/b022906c30d2728eaa68a52f5e78302d.svg	(from https://sylvesterthecat.lol/)
01:01:39	7928/7928	---MCZ	200	added ('OK')	image/svg+xml	date:Sat,%2030%20Mar%202024%2006:01:39%20GMT	https://sylvesterthecat.lol/images/41cd47fa65b05729ba6b75944c7ab5da.svg	C:/Users/mafio/Desktop/WEB/yugipepe/sylvesterthecat.lol/images/41cd47fa65b05729ba6b75944c7ab5da.svg	(from https://sylvesterthecat.lol/)
01:01:40	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2030%20Mar%202024%2006:01:40%20GMT	http://sylvesterthecat.lol/images/501154388666d71e0d27947413c6665d.svg	C:/Users/mafio/Desktop/WEB/yugipepe/sylvesterthecat.lol/images/501154388666d71e0d27947413c6665d.svg	(from https://sylvesterthecat.lol/)
01:01:40	8408/8408	---MCZ	200	added ('OK')	image/svg+xml	date:Sat,%2030%20Mar%202024%2006:01:40%20GMT	https://sylvesterthecat.lol/images/b022906c30d2728eaa68a52f5e78302d.svg	C:/Users/mafio/Desktop/WEB/yugipepe/sylvesterthecat.lol/images/b022906c30d2728eaa68a52f5e78302d.svg	(from https://sylvesterthecat.lol/)
01:01:40	7674/7674	---MCZ	200	added ('OK')	image/svg+xml	date:Sat,%2030%20Mar%202024%2006:01:40%20GMT	https://sylvesterthecat.lol/images/501154388666d71e0d27947413c6665d.svg	C:/Users/mafio/Desktop/WEB/yugipepe/sylvesterthecat.lol/images/501154388666d71e0d27947413c6665d.svg	(from https://sylvesterthecat.lol/)
01:01:40	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2030%20Mar%202024%2006:01:40%20GMT	http://sylvesterthecat.lol/images/1162477882f6b01e5af480e5e936ba71.svg	C:/Users/mafio/Desktop/WEB/yugipepe/sylvesterthecat.lol/images/1162477882f6b01e5af480e5e936ba71.svg	(from https://sylvesterthecat.lol/)
01:01:41	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2030%20Mar%202024%2006:01:41%20GMT	http://sylvesterthecat.lol/videos/57f34cde98fb9a9d6a6d19d3eae10bce.mp4	C:/Users/mafio/Desktop/WEB/yugipepe/sylvesterthecat.lol/videos/57f34cde98fb9a9d6a6d19d3eae10bce.mp4	(from https://sylvesterthecat.lol/)
01:01:41	9543/9543	---MCZ	200	added ('OK')	image/svg+xml	date:Sat,%2030%20Mar%202024%2006:01:41%20GMT	https://sylvesterthecat.lol/images/1162477882f6b01e5af480e5e936ba71.svg	C:/Users/mafio/Desktop/WEB/yugipepe/sylvesterthecat.lol/images/1162477882f6b01e5af480e5e936ba71.svg	(from https://sylvesterthecat.lol/)
01:01:41	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2030%20Mar%202024%2006:01:41%20GMT	http://sylvesterthecat.lol/images/f245f9eb6c8b8b04c781533d30e3a550.svg	C:/Users/mafio/Desktop/WEB/yugipepe/sylvesterthecat.lol/images/f245f9eb6c8b8b04c781533d30e3a550.svg	(from https://sylvesterthecat.lol/)
01:01:41	312517/312517	---MC-	200	added ('OK')	video/mp4	date:Sat,%2030%20Mar%202024%2006:01:41%20GMT	https://sylvesterthecat.lol/videos/57f34cde98fb9a9d6a6d19d3eae10bce.mp4	C:/Users/mafio/Desktop/WEB/yugipepe/sylvesterthecat.lol/videos/57f34cde98fb9a9d6a6d19d3eae10bce.mp4	(from https://sylvesterthecat.lol/)
01:01:42	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2030%20Mar%202024%2006:01:42%20GMT	http://sylvesterthecat.lol/images/12d69cc6467e7081c08257fbec533481.svg	C:/Users/mafio/Desktop/WEB/yugipepe/sylvesterthecat.lol/images/12d69cc6467e7081c08257fbec533481.svg	(from https://sylvesterthecat.lol/)
01:01:42	2793/2793	---MCZ	200	added ('OK')	image/svg+xml	date:Sat,%2030%20Mar%202024%2006:01:42%20GMT	https://sylvesterthecat.lol/images/f245f9eb6c8b8b04c781533d30e3a550.svg	C:/Users/mafio/Desktop/WEB/yugipepe/sylvesterthecat.lol/images/f245f9eb6c8b8b04c781533d30e3a550.svg	(from https://sylvesterthecat.lol/)
01:01:43	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2030%20Mar%202024%2006:01:43%20GMT	http://sylvesterthecat.lol/js/a7bdac05b24347a77bc2ba39247eaaf9c12b11b8b5b7c8ffcd473c8cd1f4ef7d.js	C:/Users/mafio/Desktop/WEB/yugipepe/sylvesterthecat.lol/js/a7bdac05b24347a77bc2ba39247eaaf9c12b11b8b5b7c8ffcd473c8cd1f4ef7d.js	(from https://sylvesterthecat.lol/)
01:01:43	758/758	---MCZ	200	added ('OK')	image/svg+xml	date:Sat,%2030%20Mar%202024%2006:01:43%20GMT	https://sylvesterthecat.lol/images/12d69cc6467e7081c08257fbec533481.svg	C:/Users/mafio/Desktop/WEB/yugipepe/sylvesterthecat.lol/images/12d69cc6467e7081c08257fbec533481.svg	(from https://sylvesterthecat.lol/)
01:01:43	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2030%20Mar%202024%2006:01:43%20GMT	http://sylvesterthecat.lol/js/939898b427480d700449229ff00dbb8a6f9f77442b532f697866e6914ab8843a.js	C:/Users/mafio/Desktop/WEB/yugipepe/sylvesterthecat.lol/js/939898b427480d700449229ff00dbb8a6f9f77442b532f697866e6914ab8843a.js	(from https://sylvesterthecat.lol/)
01:01:43	13336/13336	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2030%20Mar%202024%2006:01:43%20GMT	https://sylvesterthecat.lol/js/a7bdac05b24347a77bc2ba39247eaaf9c12b11b8b5b7c8ffcd473c8cd1f4ef7d.js	C:/Users/mafio/Desktop/WEB/yugipepe/sylvesterthecat.lol/js/a7bdac05b24347a77bc2ba39247eaaf9c12b11b8b5b7c8ffcd473c8cd1f4ef7d.js	(from https://sylvesterthecat.lol/)
01:01:44	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2030%20Mar%202024%2006:01:44%20GMT	http://sylvesterthecat.lol/js/388fb330498371d4935abbff11d34d4c30842ca3c4a128cdd290d29db98acb41.js	C:/Users/mafio/Desktop/WEB/yugipepe/sylvesterthecat.lol/js/388fb330498371d4935abbff11d34d4c30842ca3c4a128cdd290d29db98acb41.js	(from https://sylvesterthecat.lol/)
01:01:44	221/221	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2030%20Mar%202024%2006:01:44%20GMT	https://sylvesterthecat.lol/js/939898b427480d700449229ff00dbb8a6f9f77442b532f697866e6914ab8843a.js	C:/Users/mafio/Desktop/WEB/yugipepe/sylvesterthecat.lol/js/939898b427480d700449229ff00dbb8a6f9f77442b532f697866e6914ab8843a.js	(from https://sylvesterthecat.lol/)
01:01:44	2045/2045	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2030%20Mar%202024%2006:01:44%20GMT	https://sylvesterthecat.lol/js/388fb330498371d4935abbff11d34d4c30842ca3c4a128cdd290d29db98acb41.js	C:/Users/mafio/Desktop/WEB/yugipepe/sylvesterthecat.lol/js/388fb330498371d4935abbff11d34d4c30842ca3c4a128cdd290d29db98acb41.js	(from https://sylvesterthecat.lol/)
